IDfg,Season,PA,HR,R,RBI,SB,BB%_bat,K%_bat,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP_bat,O-Swing%_bat,Z-Swing%_bat,Swing%_bat,O-Contact%_bat,Z-Contact%_bat,Contact%_bat,Zone%_bat,SwStr%_bat,LD%_bat,GB%_bat,FB%_bat,Hard%_bat,Soft%_bat,Pull%,Cent%,Oppo%,Barrel%_bat,W,L,SV,IP,BB%_pitch,K%_pitch,HR/9,ERA,WHIP,FIP,ERA-,FIP-,xFIP-,BABIP_pitch,O-Swing%_pitch,Z-Swing%_pitch,Swing%_pitch,O-Contact%_pitch,Z-Contact%_pitch,Contact%_pitch,Zone%_pitch,SwStr%_pitch,LD%_pitch,GB%_pitch,FB%_pitch,Hard%_pitch,Soft%_pitch,Barrel%_pitch,Name,Team,Age,G,WAR,League
17677,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,171.0,0.076,0.1939999999999999,1.47,4.11,1.21,4.66,97.0,109.0,111.0,0.255,0.318,0.669,0.461,0.642,0.8440000000000001,0.7609999999999999,0.407,0.11,0.2239999999999999,0.318,0.4579999999999999,0.317,0.172,0.081,Jeffrey Springs,ATH,32.0,32.0,1.8,
17919,2025,645.0,23.0,84.0,76.0,6.0,0.133,0.225,0.241,0.343,0.42,0.763,0.334,116.0,0.283,0.238,0.659,0.434,0.588,0.865,0.7829999999999999,0.4639999999999999,0.094,0.2189999999999999,0.365,0.416,0.376,0.16,0.434,0.32,0.245,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ian Happ,CHC,30.0,145.0,2.7,NL
17929,2025,493.0,17.0,58.0,59.0,22.0,0.099,0.241,0.218,0.3,0.394,0.694,0.303,95.0,0.256,0.289,0.7120000000000001,0.478,0.675,0.855,0.795,0.446,0.098,0.192,0.302,0.506,0.2769999999999999,0.181,0.48,0.283,0.237,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedric Mullins,- - -,30.0,131.0,1.4,
17982,2025,490.0,7.0,50.0,52.0,1.0,0.045,0.1689999999999999,0.257,0.32,0.36,0.681,0.302,92.0,0.3,0.357,0.7559999999999999,0.518,0.6559999999999999,0.908,0.804,0.4039999999999999,0.1009999999999999,0.2339999999999999,0.462,0.305,0.31,0.135,0.335,0.376,0.288,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ty France,- - -,30.0,138.0,0.9,
17995,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,0.0,201.2,0.055,0.258,0.62,3.3,1.25,2.68,80.0,68.0,69.0,0.348,0.326,0.644,0.4589999999999999,0.598,0.897,0.773,0.419,0.104,0.223,0.529,0.248,0.276,0.151,0.079,Logan Webb,SFG,28.0,33.0,5.2,NL
18036,2025,501.0,11.0,60.0,56.0,3.0,0.134,0.206,0.248,0.369,0.382,0.751,0.337,120.0,0.3,0.251,0.645,0.423,0.6859999999999999,0.913,0.8370000000000001,0.4379999999999999,0.069,0.195,0.42,0.384,0.27,0.162,0.368,0.365,0.267,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake Cronenworth,SDP,31.0,131.0,3.0,NL
18314,2025,628.0,23.0,82.0,76.0,18.0,0.07,0.264,0.245,0.298,0.415,0.713,0.308,98.0,0.301,0.289,0.763,0.503,0.491,0.815,0.713,0.451,0.144,0.225,0.414,0.361,0.363,0.135,0.469,0.356,0.175,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dansby Swanson,CHC,31.0,154.0,3.2,NL
18345,2025,585.0,22.0,89.0,73.0,25.0,0.147,0.147,0.27,0.381,0.472,0.854,0.368,139.0,0.286,0.214,0.742,0.451,0.635,0.885,0.82,0.4479999999999999,0.081,0.214,0.342,0.4429999999999999,0.3339999999999999,0.135,0.472,0.3339999999999999,0.1939999999999999,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Tucker,CHC,28.0,133.0,4.7,NL
18525,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,0.0,163.0,0.099,0.296,1.16,4.64,1.32,3.64,114.0,89.0,87.0,0.315,0.347,0.715,0.491,0.513,0.8079999999999999,0.6809999999999999,0.3929999999999999,0.156,0.22,0.362,0.418,0.337,0.173,0.089,Dylan Cease,SDP,29.0,31.0,3.1,NL
18564,2025,561.0,33.0,82.0,72.0,3.0,0.1369999999999999,0.235,0.236,0.346,0.466,0.811,0.353,129.0,0.254,0.1989999999999999,0.601,0.3829999999999999,0.616,0.87,0.7979999999999999,0.4579999999999999,0.077,0.191,0.365,0.4429999999999999,0.376,0.132,0.497,0.351,0.152,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent Grisham,NYY,28.0,138.0,3.0,AL
18568,2025,662.0,8.0,64.0,61.0,11.0,0.05,0.032,0.288,0.323,0.388,0.711,0.31,101.0,0.285,0.374,0.618,0.488,0.94,0.974,0.96,0.469,0.019,0.258,0.4379999999999999,0.304,0.177,0.127,0.287,0.327,0.386,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Arraez,SDP,28.0,151.0,0.7,NL
18577,2025,555.0,5.0,49.0,48.0,12.0,0.061,0.196,0.235,0.289,0.307,0.596,0.266,65.0,0.289,0.292,0.629,0.44,0.66,0.921,0.823,0.439,0.078,0.188,0.491,0.321,0.285,0.187,0.312,0.391,0.297,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ke'Bryan Hayes,- - -,28.0,147.0,1.4,
18679,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,6.0,0.0,174.2,0.092,0.282,1.03,2.68,1.07,3.62,64.0,87.0,93.0,0.242,0.318,0.7,0.465,0.5760000000000001,0.8340000000000001,0.726,0.385,0.127,0.171,0.373,0.456,0.284,0.19,0.091,Freddy Peralta,MIL,29.0,32.0,3.7,NL
18684,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,0.0,167.2,0.077,0.1939999999999999,1.13,5.48,1.28,4.26,128.0,102.0,102.0,0.28,0.326,0.6940000000000001,0.491,0.675,0.889,0.8109999999999999,0.4479999999999999,0.093,0.207,0.455,0.3379999999999999,0.3389999999999999,0.123,0.086,Sandy Alcantara,MIA,29.0,30.0,1.7,NL
18839,2025,594.0,20.0,79.0,91.0,28.0,0.081,0.138,0.292,0.351,0.461,0.812,0.349,126.0,0.311,0.3989999999999999,0.73,0.537,0.669,0.889,0.794,0.418,0.11,0.171,0.456,0.373,0.346,0.16,0.442,0.387,0.171,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Naylor,- - -,28.0,144.0,2.9,
18882,2025,540.0,30.0,78.0,81.0,3.0,0.069,0.2689999999999999,0.257,0.307,0.475,0.782,0.334,113.0,0.298,0.36,0.7979999999999999,0.556,0.473,0.8140000000000001,0.6920000000000001,0.4479999999999999,0.171,0.228,0.382,0.39,0.374,0.126,0.483,0.287,0.23,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Lowe,TBR,30.0,131.0,1.6,AL
19238,2025,546.0,19.0,52.0,80.0,10.0,0.057,0.139,0.248,0.295,0.418,0.713,0.307,94.0,0.254,0.375,0.708,0.522,0.6809999999999999,0.899,0.812,0.442,0.098,0.187,0.374,0.439,0.305,0.18,0.416,0.363,0.222,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lourdes Gurriel Jr.,ARI,31.0,129.0,0.7,NL
19251,2025,688.0,37.0,84.0,123.0,1.0,0.087,0.2239999999999999,0.273,0.349,0.523,0.872,0.369,141.0,0.303,0.309,0.675,0.4639999999999999,0.639,0.852,0.77,0.424,0.106,0.203,0.379,0.418,0.3989999999999999,0.122,0.397,0.312,0.292,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pete Alonso,NYM,30.0,157.0,3.5,NL
19287,2025,536.0,18.0,56.0,74.0,13.0,0.049,0.246,0.227,0.269,0.392,0.66,0.285,82.0,0.268,0.3939999999999999,0.71,0.524,0.605,0.8109999999999999,0.72,0.411,0.147,0.172,0.37,0.4579999999999999,0.349,0.123,0.397,0.3429999999999999,0.26,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adolis Garcia,TEX,32.0,131.0,0.7,AL
19290,2025,685.0,27.0,93.0,73.0,28.0,0.091,0.267,0.233,0.331,0.424,0.755,0.331,119.0,0.288,0.281,0.6459999999999999,0.435,0.631,0.78,0.7240000000000001,0.421,0.12,0.1669999999999999,0.425,0.408,0.3829999999999999,0.172,0.395,0.38,0.225,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randy Arozarena,SEA,30.0,155.0,2.7,AL
19291,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,0.0,187.2,0.08,0.218,1.44,4.7,1.24,4.46,110.0,111.0,98.0,0.267,0.308,0.645,0.444,0.598,0.918,0.7859999999999999,0.405,0.095,0.1889999999999999,0.436,0.375,0.353,0.125,0.095,Zac Gallen,ARI,29.0,32.0,1.1,NL
19326,2025,634.0,16.0,64.0,73.0,3.0,0.088,0.268,0.243,0.315,0.401,0.716,0.313,98.0,0.316,0.299,0.7559999999999999,0.495,0.505,0.858,0.736,0.429,0.131,0.246,0.465,0.289,0.363,0.1,0.428,0.353,0.2189999999999999,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryan Reynolds,PIT,30.0,149.0,1.0,NL
19350,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,0.0,170.1,0.063,0.1989999999999999,1.16,4.23,1.22,3.99,105.0,95.0,101.0,0.285,0.332,0.698,0.493,0.664,0.863,0.789,0.442,0.104,0.183,0.3989999999999999,0.418,0.285,0.157,0.083,Dean Kremer,BAL,29.0,30.0,2.6,AL
19392,2025,501.0,12.0,68.0,49.0,19.0,0.092,0.22,0.26,0.334,0.442,0.776,0.335,115.0,0.316,0.313,0.654,0.467,0.664,0.866,0.7909999999999999,0.45,0.0969999999999999,0.263,0.3989999999999999,0.337,0.265,0.165,0.442,0.307,0.251,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach McKinstry,DET,30.0,140.0,3.2,AL
19522,2025,661.0,13.0,79.0,50.0,12.0,0.1159999999999999,0.1689999999999999,0.258,0.361,0.37,0.731,0.329,105.0,0.298,0.216,0.5870000000000001,0.385,0.645,0.919,0.835,0.455,0.063,0.226,0.401,0.373,0.276,0.173,0.471,0.3379999999999999,0.191,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJ Friedl,CIN,29.0,147.0,2.5,NL
19566,2025,591.0,18.0,64.0,83.0,1.0,0.103,0.261,0.227,0.308,0.382,0.69,0.302,92.0,0.284,0.273,0.653,0.446,0.622,0.8640000000000001,0.784,0.456,0.096,0.201,0.436,0.364,0.313,0.171,0.345,0.348,0.307,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Lowe,- - -,29.0,148.0,-0.3,
19608,2025,575.0,15.0,66.0,77.0,15.0,0.077,0.1369999999999999,0.25,0.31,0.373,0.683,0.3,89.0,0.267,0.311,0.6629999999999999,0.4629999999999999,0.6990000000000001,0.912,0.83,0.431,0.079,0.179,0.484,0.337,0.305,0.154,0.37,0.381,0.249,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otto Lopez,MIA,26.0,138.0,2.6,NL
19611,2025,660.0,23.0,94.0,83.0,6.0,0.123,0.135,0.297,0.388,0.478,0.866,0.373,142.0,0.317,0.251,0.639,0.419,0.675,0.87,0.804,0.432,0.0819999999999999,0.217,0.457,0.326,0.413,0.165,0.368,0.376,0.256,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Guerrero Jr.,TOR,26.0,151.0,4.1,AL
19612,2025,628.0,18.0,78.0,94.0,4.0,0.064,0.145,0.311,0.357,0.483,0.84,0.361,134.0,0.342,0.379,0.746,0.531,0.713,0.917,0.8320000000000001,0.413,0.089,0.221,0.47,0.31,0.374,0.123,0.289,0.3989999999999999,0.312,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bo Bichette,TOR,27.0,139.0,3.8,AL
19627,2025,684.0,30.0,91.0,87.0,6.0,0.091,0.216,0.264,0.335,0.485,0.821,0.351,123.0,0.301,0.306,0.777,0.503,0.509,0.8290000000000001,0.716,0.418,0.143,0.218,0.361,0.421,0.372,0.145,0.4379999999999999,0.34,0.222,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brent Rooker,ATH,30.0,157.0,2.5,
19709,2025,681.0,23.0,108.0,66.0,32.0,0.129,0.185,0.267,0.367,0.438,0.805,0.35,129.0,0.304,0.276,0.72,0.4529999999999999,0.565,0.86,0.752,0.3979999999999999,0.1119999999999999,0.174,0.493,0.3329999999999999,0.382,0.1169999999999999,0.384,0.38,0.236,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,SDP,26.0,152.0,5.7,NL
19755,2025,708.0,53.0,142.0,99.0,19.0,0.153,0.256,0.282,0.394,0.617,1.011,0.417,171.0,0.316,0.293,0.67,0.446,0.523,0.789,0.685,0.4039999999999999,0.14,0.1689999999999999,0.3989999999999999,0.432,0.447,0.1009999999999999,0.4589999999999999,0.362,0.179,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shohei Ohtani,LAD,30.0,154.0,7.2,NL
19858,2025,524.0,9.0,53.0,43.0,10.0,0.063,0.195,0.24,0.291,0.339,0.629,0.278,75.0,0.285,0.344,0.7440000000000001,0.516,0.675,0.875,0.799,0.428,0.104,0.238,0.509,0.253,0.259,0.174,0.3389999999999999,0.396,0.264,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Rengifo,LAA,28.0,142.0,0.1,AL
19901,2025,529.0,19.0,55.0,70.0,2.0,0.081,0.198,0.254,0.319,0.436,0.756,0.327,113.0,0.286,0.34,0.598,0.446,0.6759999999999999,0.868,0.782,0.414,0.0969999999999999,0.213,0.364,0.423,0.324,0.17,0.412,0.354,0.2339999999999999,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavin Sheets,SDP,29.0,141.0,1.4,NL
19955,2025,487.0,5.0,47.0,51.0,1.0,0.113,0.23,0.266,0.349,0.37,0.719,0.321,100.0,0.349,0.237,0.6609999999999999,0.425,0.625,0.897,0.813,0.4429999999999999,0.08,0.238,0.488,0.275,0.3,0.141,0.391,0.422,0.188,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavin Lux,CIN,27.0,136.0,0.2,NL
19959,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,7.0,0.0,176.2,0.078,0.28,0.82,4.08,1.25,3.01,95.0,72.0,81.0,0.327,0.335,0.6609999999999999,0.476,0.526,0.8490000000000001,0.72,0.433,0.133,0.203,0.427,0.371,0.316,0.154,0.068,Jesus Luzardo,PHI,27.0,31.0,4.8,NL
20123,2025,693.0,42.0,118.0,104.0,36.0,0.179,0.193,0.267,0.399,0.532,0.932,0.394,158.0,0.276,0.18,0.573,0.35,0.631,0.87,0.8,0.432,0.07,0.1689999999999999,0.4539999999999999,0.377,0.4479999999999999,0.139,0.432,0.374,0.195,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Soto,NYM,26.0,155.0,5.8,NL
20178,2025,547.0,15.0,73.0,57.0,5.0,0.095,0.174,0.23,0.311,0.397,0.708,0.31,98.0,0.256,0.256,0.7340000000000001,0.4679999999999999,0.7190000000000001,0.872,0.825,0.444,0.0819999999999999,0.183,0.292,0.525,0.322,0.155,0.431,0.335,0.2339999999999999,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Vargas,CHW,25.0,133.0,1.0,AL
20220,2025,553.0,36.0,61.0,96.0,5.0,0.06,0.262,0.237,0.296,0.488,0.785,0.336,114.0,0.258,0.356,0.767,0.524,0.55,0.858,0.7340000000000001,0.409,0.139,0.18,0.381,0.439,0.373,0.152,0.401,0.337,0.262,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jo Adell,LAA,26.0,147.0,1.4,AL
20302,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,0.0,168.2,0.09,0.207,0.59,4.22,1.37,3.49,103.0,85.0,90.0,0.316,0.324,0.6679999999999999,0.4639999999999999,0.609,0.895,0.777,0.408,0.103,0.215,0.547,0.239,0.364,0.134,0.064,David Peterson,NYM,29.0,30.0,3.1,NL
20352,2025,570.0,9.0,79.0,47.0,5.0,0.046,0.105,0.277,0.313,0.398,0.71,0.308,97.0,0.295,0.3989999999999999,0.7170000000000001,0.535,0.7659999999999999,0.941,0.866,0.428,0.072,0.2289999999999999,0.345,0.426,0.235,0.163,0.431,0.331,0.238,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernie Clement,TOR,29.0,152.0,3.0,AL
20391,2025,511.0,13.0,63.0,62.0,13.0,0.051,0.159,0.253,0.29,0.399,0.688,0.296,88.0,0.275,0.408,0.716,0.536,0.6940000000000001,0.898,0.807,0.414,0.103,0.195,0.4539999999999999,0.352,0.3379999999999999,0.172,0.4029999999999999,0.3979999999999999,0.1989999999999999,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Garcia Jr.,WSN,25.0,135.0,0.5,NL
20454,2025,517.0,31.0,75.0,79.0,31.0,0.1119999999999999,0.2789999999999999,0.247,0.337,0.49,0.827,0.355,130.0,0.288,0.295,0.7020000000000001,0.467,0.537,0.784,0.6940000000000001,0.422,0.143,0.144,0.373,0.484,0.31,0.174,0.5,0.316,0.184,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jazz Chisholm Jr.,NYY,27.0,125.0,4.5,AL
20503,2025,655.0,17.0,89.0,76.0,6.0,0.128,0.18,0.262,0.357,0.402,0.759,0.334,115.0,0.3,0.292,0.708,0.465,0.65,0.851,0.778,0.416,0.103,0.198,0.498,0.304,0.36,0.156,0.391,0.36,0.249,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Contreras,MIL,27.0,149.0,3.7,NL
20633,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,0.0,173.1,0.0969999999999999,0.223,1.19,4.05,1.45,4.25,97.0,100.0,103.0,0.32,0.298,0.701,0.482,0.637,0.86,0.785,0.456,0.104,0.204,0.3939999999999999,0.402,0.359,0.129,0.092,Yusei Kikuchi,LAA,34.0,32.0,2.4,AL
20778,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,0.0,196.1,0.0559999999999999,0.259,0.55,2.57,1.08,2.63,60.0,63.0,69.0,0.3,0.351,0.664,0.49,0.573,0.82,0.722,0.445,0.136,0.179,0.585,0.237,0.322,0.142,0.0579999999999999,Cristopher Sanchez,PHI,28.0,31.0,6.0,NL
21390,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,9.0,0.0,166.0,0.057,0.2769999999999999,1.36,3.47,1.04,3.78,84.0,90.0,89.0,0.267,0.295,0.7190000000000001,0.495,0.674,0.81,0.767,0.473,0.115,0.148,0.367,0.485,0.314,0.166,0.118,Joe Ryan,MIN,29.0,30.0,2.9,AL
21454,2025,571.0,13.0,68.0,48.0,4.0,0.105,0.2,0.238,0.325,0.367,0.692,0.306,97.0,0.281,0.249,0.583,0.3939999999999999,0.659,0.8909999999999999,0.809,0.436,0.075,0.175,0.375,0.45,0.35,0.182,0.3379999999999999,0.4039999999999999,0.258,0.0969999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars Nootbaar,STL,27.0,132.0,1.0,NL
21479,2025,626.0,6.0,86.0,60.0,29.0,0.061,0.072,0.302,0.35,0.397,0.747,0.328,112.0,0.317,0.359,0.647,0.487,0.7979999999999999,0.967,0.898,0.444,0.05,0.211,0.446,0.3429999999999999,0.248,0.175,0.373,0.366,0.261,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nico Hoerner,CHC,28.0,151.0,4.7,NL
21501,2025,554.0,17.0,62.0,60.0,4.0,0.096,0.209,0.249,0.324,0.402,0.726,0.317,102.0,0.289,0.299,0.635,0.4429999999999999,0.471,0.902,0.737,0.43,0.1169999999999999,0.1969999999999999,0.434,0.368,0.308,0.108,0.405,0.35,0.245,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Larnach,MIN,28.0,138.0,0.2,AL
21504,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,0.0,174.0,0.08,0.155,1.86,5.69,1.44,5.63,135.0,134.0,116.0,0.282,0.3,0.653,0.465,0.7140000000000001,0.9,0.836,0.4679999999999999,0.076,0.192,0.432,0.376,0.353,0.131,0.119,Jake Irvin,WSN,28.0,32.0,-0.4,NL
21523,2025,560.0,8.0,62.0,42.0,0.0,0.096,0.186,0.235,0.326,0.343,0.668,0.301,89.0,0.282,0.2289999999999999,0.594,0.3989999999999999,0.654,0.901,0.825,0.466,0.07,0.171,0.385,0.444,0.311,0.18,0.483,0.278,0.239,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan India,KCR,28.0,133.0,-0.2,AL
21534,2025,682.0,58.0,107.0,121.0,14.0,0.139,0.264,0.245,0.359,0.586,0.945,0.392,160.0,0.244,0.355,0.768,0.516,0.564,0.828,0.7170000000000001,0.389,0.146,0.171,0.254,0.575,0.382,0.183,0.555,0.251,0.193,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cal Raleigh,SEA,28.0,154.0,8.8,AL
21636,2025,543.0,17.0,68.0,62.0,20.0,0.064,0.171,0.304,0.363,0.477,0.84,0.363,135.0,0.345,0.39,0.6940000000000001,0.51,0.56,0.8959999999999999,0.741,0.397,0.132,0.188,0.48,0.3329999999999999,0.313,0.144,0.449,0.362,0.1889999999999999,0.0819999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Pena,HOU,27.0,125.0,5.7,AL
21711,2025,536.0,20.0,62.0,61.0,38.0,0.119,0.317,0.203,0.302,0.384,0.687,0.299,89.0,0.266,0.297,0.602,0.414,0.5589999999999999,0.778,0.6809999999999999,0.384,0.132,0.148,0.48,0.372,0.406,0.1169999999999999,0.413,0.379,0.208,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oneil Cruz,PIT,26.0,132.0,1.7,NL
22100,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,0.0,169.0,0.108,0.21,0.64,4.26,1.4,3.74,103.0,88.0,84.0,0.306,0.294,0.652,0.444,0.522,0.885,0.745,0.42,0.113,0.181,0.653,0.166,0.365,0.1369999999999999,0.072,Jose Soriano,LAA,26.0,31.0,3.0,AL
22186,2025,642.0,18.0,96.0,77.0,24.0,0.098,0.2269999999999999,0.284,0.355,0.432,0.786,0.343,121.0,0.35,0.281,0.631,0.4429999999999999,0.6890000000000001,0.8690000000000001,0.8079999999999999,0.462,0.085,0.22,0.4639999999999999,0.316,0.3339999999999999,0.093,0.271,0.385,0.3429999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brice Turang,MIL,25.0,152.0,4.1,NL
22201,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,15.0,0.0,159.2,0.094,0.272,1.13,4.17,1.35,3.75,99.0,90.0,91.0,0.325,0.331,0.72,0.491,0.5670000000000001,0.835,0.7290000000000001,0.413,0.133,0.22,0.372,0.408,0.345,0.138,0.106,MacKenzie Gore,WSN,26.0,30.0,2.9,NL
22264,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,0.0,162.1,0.088,0.249,1.44,4.99,1.35,4.39,120.0,103.0,91.0,0.309,0.3379999999999999,0.6729999999999999,0.489,0.608,0.86,0.765,0.451,0.115,0.173,0.4679999999999999,0.359,0.32,0.172,0.0969999999999999,Shane Baz,TBR,26.0,30.0,1.9,AL
22266,2025,599.0,3.0,74.0,41.0,26.0,0.077,0.14,0.281,0.337,0.352,0.69,0.305,93.0,0.325,0.288,0.7070000000000001,0.478,0.795,0.942,0.894,0.4529999999999999,0.051,0.244,0.4629999999999999,0.293,0.244,0.1669999999999999,0.319,0.362,0.319,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Edwards,MIA,25.0,134.0,2.2,NL
22267,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,0.0,195.1,0.044,0.322,0.83,2.21,0.89,2.46,54.0,58.0,63.0,0.273,0.379,0.722,0.545,0.546,0.78,0.696,0.483,0.166,0.204,0.412,0.384,0.284,0.203,0.081,Tarik Skubal,DET,28.0,31.0,6.6,AL
22515,2025,677.0,20.0,84.0,66.0,6.0,0.075,0.2289999999999999,0.259,0.331,0.401,0.732,0.321,107.0,0.313,0.3279999999999999,0.6709999999999999,0.474,0.619,0.893,0.784,0.427,0.102,0.183,0.4429999999999999,0.374,0.3329999999999999,0.1369999999999999,0.35,0.3939999999999999,0.256,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heliot Ramos,SFG,25.0,153.0,1.2,NL
22542,2025,618.0,21.0,83.0,63.0,21.0,0.094,0.286,0.237,0.308,0.41,0.719,0.314,98.0,0.308,0.301,0.7070000000000001,0.469,0.509,0.8109999999999999,0.698,0.415,0.142,0.216,0.451,0.332,0.3339999999999999,0.157,0.342,0.36,0.298,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence Butler,ATH,24.0,149.0,2.1,
22581,2025,490.0,12.0,42.0,69.0,1.0,0.098,0.1119999999999999,0.283,0.351,0.405,0.756,0.331,113.0,0.297,0.3229999999999999,0.6729999999999999,0.47,0.759,0.892,0.8390000000000001,0.42,0.076,0.187,0.446,0.368,0.381,0.13,0.293,0.3939999999999999,0.313,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandro Kirk,TOR,26.0,126.0,4.1,AL
22715,2025,644.0,16.0,77.0,72.0,23.0,0.093,0.124,0.288,0.354,0.455,0.809,0.351,123.0,0.31,0.238,0.6,0.4,0.748,0.931,0.872,0.45,0.051,0.19,0.435,0.375,0.342,0.133,0.392,0.356,0.252,0.0579999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maikel Garcia,KCR,25.0,155.0,5.5,AL
22799,2025,697.0,19.0,96.0,98.0,26.0,0.132,0.11,0.291,0.391,0.461,0.852,0.371,138.0,0.303,0.2189999999999999,0.586,0.3929999999999999,0.8009999999999999,0.939,0.898,0.473,0.04,0.236,0.373,0.391,0.276,0.154,0.427,0.315,0.259,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geraldo Perdomo,ARI,25.0,156.0,6.9,NL
22896,2025,528.0,21.0,54.0,71.0,2.0,0.034,0.235,0.258,0.288,0.423,0.712,0.307,95.0,0.303,0.432,0.615,0.509,0.682,0.904,0.795,0.42,0.105,0.249,0.318,0.433,0.312,0.144,0.39,0.348,0.262,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenyn Sosa,CHW,25.0,136.0,1.1,AL
23003,2025,549.0,19.0,53.0,68.0,1.0,0.036,0.1639999999999999,0.256,0.284,0.412,0.696,0.299,91.0,0.275,0.473,0.789,0.5920000000000001,0.674,0.899,0.787,0.376,0.126,0.188,0.465,0.348,0.3229999999999999,0.146,0.3939999999999999,0.38,0.2269999999999999,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yainer Diaz,HOU,26.0,138.0,1.4,AL
